Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Yoga,67,331,Breakfast,893,"41g Protein, 32g Carbs, 24g Fat",3.5,4,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Running,80,710,Lunch,470,"11g Protein, 89g Carbs, 19g Fat",2.2,4,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Cycling,63,597,Dinner,303,"14g Protein, 49g Carbs, 13g Fat",2,5,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Yoga,23,283,Breakfast,312,"31g Protein, 42g Carbs, 29g Fat",1.4,8,Good,Balanced meal with lean protein.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Running,37,334,Dinner,888,"16g Protein, 40g Carbs, 24g Fat",2.5,4,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Cycling,54,209,Lunch,669,"18g Protein, 96g Carbs, 16g Fat",3.4,10,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Strength Training,76,393,Snack,797,"15g Protein, 56g Carbs, 30g Fat",3.2,8,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Strength Training,34,290,Lunch,442,"33g Protein, 87g Carbs, 23g Fat",2.9,10,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,48,345,Breakfast,506,"11g Protein, 95g Carbs, 27g Fat",3.3,5,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Swimming,26,557,Breakfast,591,"50g Protein, 25g Carbs, 29g Fat",1.7,6,Excellent,Standard balanced diet.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,118,209,Breakfast,903,"36g Protein, 97g Carbs, 13g Fat",0.9,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Running,56,217,Lunch,823,"38g Protein, 87g Carbs, 21g Fat",0.8,9,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,102,526,Lunch,317,"46g Protein, 25g Carbs, 8g Fat",1.3,4,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Swimming,72,733,Snack,727,"22g Protein, 32g Carbs, 15g Fat",2.8,10,Good,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Running,83,631,Dinner,851,"21g Protein, 90g Carbs, 6g Fat",2.2,6,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Swimming,87,100,Breakfast,879,"35g Protein, 30g Carbs, 26g Fat",1.7,10,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Cycling,43,727,Breakfast,338,"42g Protein, 35g Carbs, 17g Fat",2.2,7,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Cycling,25,495,Lunch,622,"40g Protein, 46g Carbs, 6g Fat",1.3,9,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Yoga,108,316,Snack,971,"22g Protein, 85g Carbs, 23g Fat",0.9,4,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Yoga,78,132,Lunch,998,"24g Protein, 32g Carbs, 16g Fat",1.8,9,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Yoga,81,399,Snack,679,"14g Protein, 29g Carbs, 24g Fat",1.2,7,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Yoga,59,78,Snack,376,"35g Protein, 85g Carbs, 25g Fat",3.5,10,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Swimming,88,274,Breakfast,244,"26g Protein, 87g Carbs, 19g Fat",2.9,5,Fair,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Strength Training,60,219,Breakfast,619,"45g Protein, 97g Carbs, 15g Fat",3.4,10,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Yoga,56,748,Dinner,570,"49g Protein, 75g Carbs, 21g Fat",2.2,6,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Cycling,101,411,Snack,411,"15g Protein, 65g Carbs, 18g Fat",1.7,7,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,63,534,Snack,614,"19g Protein, 50g Carbs, 9g Fat",3,9,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Strength Training,68,204,Breakfast,390,"11g Protein, 77g Carbs, 6g Fat",2.4,6,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Cycling,108,383,Breakfast,548,"47g Protein, 34g Carbs, 18g Fat",2.2,9,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Strength Training,53,476,Lunch,713,"35g Protein, 27g Carbs, 13g Fat",2.3,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Strength Training,53,582,Dinner,420,"12g Protein, 30g Carbs, 21g Fat",2.9,9,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,94,496,Lunch,438,"42g Protein, 49g Carbs, 24g Fat",1.7,6,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Shrimp and avocado salad
Swimming,97,325,Breakfast,346,"21g Protein, 95g Carbs, 17g Fat",0.7,4,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Running,93,196,Snack,864,"44g Protein, 99g Carbs, 10g Fat",1.2,6,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Yoga,76,125,Snack,946,"30g Protein, 42g Carbs, 9g Fat",2,9,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,66,64,Snack,863,"32g Protein, 30g Carbs, 19g Fat",1.1,9,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Cycling,60,595,Dinner,666,"34g Protein, 60g Carbs, 7g Fat",1.4,4,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Running,49,308,Lunch,621,"29g Protein, 31g Carbs, 21g Fat",1.1,7,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Cycling,87,598,Lunch,466,"19g Protein, 63g Carbs, 7g Fat",2.7,5,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,92,478,Lunch,763,"50g Protein, 27g Carbs, 13g Fat",3.4,7,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Strength Training,47,693,Breakfast,734,"25g Protein, 23g Carbs, 17g Fat",1.7,8,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Running,115,328,Breakfast,399,"46g Protein, 88g Carbs, 23g Fat",1.4,4,Fair,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Running,63,504,Breakfast,338,"10g Protein, 48g Carbs, 29g Fat",1.4,6,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Strength Training,101,125,Snack,599,"39g Protein, 100g Carbs, 16g Fat",2.6,6,Good,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Swimming,77,593,Dinner,546,"49g Protein, 84g Carbs, 9g Fat",0.7,5,Good,Standard balanced diet.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Running,112,545,Dinner,552,"46g Protein, 25g Carbs, 10g Fat",2.7,10,Good,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Swimming,84,275,Snack,555,"10g Protein, 41g Carbs, 17g Fat",0.8,4,Fair,Standard balanced diet.,Vegetable omelet with spinach,Shrimp and avocado salad
Running,17,113,Lunch,981,"45g Protein, 30g Carbs, 8g Fat",2.3,4,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Yoga,107,70,Lunch,219,"47g Protein, 59g Carbs, 9g Fat",2.2,7,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Cycling,21,709,Dinner,723,"50g Protein, 43g Carbs, 9g Fat",3.4,4,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Swimming,96,102,Dinner,614,"18g Protein, 41g Carbs, 20g Fat",2.7,4,Good,Standard balanced diet.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Yoga,50,287,Snack,922,"22g Protein, 84g Carbs, 14g Fat",1,9,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Shrimp and avocado salad
Swimming,91,280,Snack,706,"30g Protein, 71g Carbs, 10g Fat",0.5,5,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Running,23,496,Breakfast,773,"23g Protein, 25g Carbs, 28g Fat",0.9,5,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Strength Training,70,696,Lunch,204,"37g Protein, 96g Carbs, 22g Fat",1.2,10,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Shrimp and avocado salad
Yoga,78,800,Lunch,659,"31g Protein, 24g Carbs, 16g Fat",0.7,7,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Yoga,30,532,Lunch,484,"39g Protein, 30g Carbs, 6g Fat",1.5,4,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,115,462,Lunch,217,"13g Protein, 98g Carbs, 16g Fat",2.8,9,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Yoga,50,247,Breakfast,517,"42g Protein, 55g Carbs, 24g Fat",2.1,6,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Strength Training,62,507,Lunch,808,"30g Protein, 75g Carbs, 22g Fat",2.7,4,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Shrimp and avocado salad
Swimming,77,433,Dinner,818,"31g Protein, 48g Carbs, 26g Fat",1.8,8,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Running,102,779,Breakfast,680,"40g Protein, 71g Carbs, 14g Fat",1.9,8,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,21,120,Snack,550,"38g Protein, 56g Carbs, 16g Fat",1.4,7,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Cycling,37,730,Dinner,562,"43g Protein, 83g Carbs, 13g Fat",1.7,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Running,98,169,Breakfast,534,"39g Protein, 43g Carbs, 20g Fat",0.9,5,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Cycling,37,220,Snack,353,"35g Protein, 58g Carbs, 21g Fat",1.9,8,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,64,191,Dinner,683,"26g Protein, 59g Carbs, 22g Fat",1.3,5,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Strength Training,65,585,Breakfast,674,"32g Protein, 35g Carbs, 20g Fat",2.7,10,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Swimming,16,500,Breakfast,808,"32g Protein, 78g Carbs, 7g Fat",2.3,6,Excellent,Standard balanced diet.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Cycling,94,480,Lunch,458,"41g Protein, 71g Carbs, 19g Fat",1.3,8,Good,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,98,696,Breakfast,495,"20g Protein, 53g Carbs, 8g Fat",1.8,10,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Strength Training,113,611,Lunch,943,"39g Protein, 44g Carbs, 17g Fat",2.2,10,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Yoga,79,463,Breakfast,354,"10g Protein, 32g Carbs, 25g Fat",2.8,5,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Cycling,14,334,Lunch,529,"44g Protein, 61g Carbs, 30g Fat",1.3,10,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Yoga,116,432,Lunch,343,"24g Protein, 20g Carbs, 19g Fat",2.8,5,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,54,257,Dinner,863,"16g Protein, 58g Carbs, 26g Fat",1.5,4,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Swimming,120,107,Snack,225,"14g Protein, 83g Carbs, 6g Fat",3.5,8,Good,Standard balanced diet.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Swimming,31,520,Lunch,518,"49g Protein, 65g Carbs, 8g Fat",2.1,5,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Swimming,95,632,Breakfast,218,"26g Protein, 90g Carbs, 24g Fat",2.3,10,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Running,118,551,Dinner,930,"11g Protein, 65g Carbs, 18g Fat",1,10,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Yoga,82,615,Breakfast,649,"35g Protein, 67g Carbs, 20g Fat",2.8,9,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,104,677,Lunch,514,"23g Protein, 31g Carbs, 16g Fat",3.5,5,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,67,580,Snack,634,"12g Protein, 94g Carbs, 8g Fat",3.4,6,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Cycling,83,339,Dinner,270,"23g Protein, 78g Carbs, 25g Fat",0.5,5,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Yoga,60,600,Breakfast,218,"27g Protein, 59g Carbs, 26g Fat",0.8,10,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Running,68,780,Lunch,944,"13g Protein, 85g Carbs, 11g Fat",3.1,10,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Running,68,645,Snack,495,"44g Protein, 64g Carbs, 22g Fat",3.4,4,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Running,94,310,Dinner,668,"24g Protein, 43g Carbs, 24g Fat",3.4,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Swimming,95,492,Dinner,915,"10g Protein, 48g Carbs, 20g Fat",1.4,5,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Strength Training,116,340,Lunch,333,"19g Protein, 47g Carbs, 29g Fat",2.5,6,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Yoga,39,720,Lunch,642,"31g Protein, 93g Carbs, 5g Fat",0.7,10,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Cycling,24,279,Snack,274,"25g Protein, 24g Carbs, 27g Fat",1.3,4,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Shrimp and avocado salad
Yoga,89,741,Lunch,687,"34g Protein, 64g Carbs, 25g Fat",1.6,10,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Yoga,56,159,Dinner,804,"37g Protein, 83g Carbs, 15g Fat",3.3,5,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Strength Training,107,265,Snack,572,"50g Protein, 31g Carbs, 12g Fat",1.4,9,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,54,397,Breakfast,236,"15g Protein, 93g Carbs, 30g Fat",3.1,8,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Strength Training,15,236,Breakfast,527,"33g Protein, 86g Carbs, 17g Fat",0.6,10,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Yoga,62,390,Dinner,457,"46g Protein, 46g Carbs, 9g Fat",2.2,4,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Strength Training,81,72,Dinner,591,"41g Protein, 99g Carbs, 6g Fat",1.4,7,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Swimming,24,575,Snack,590,"16g Protein, 87g Carbs, 10g Fat",2.5,5,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Strength Training,93,548,Lunch,721,"16g Protein, 60g Carbs, 6g Fat",3.5,4,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Strength Training,63,625,Lunch,719,"50g Protein, 71g Carbs, 7g Fat",1.4,5,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,35,531,Dinner,706,"16g Protein, 27g Carbs, 9g Fat",2.3,8,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Yoga,55,92,Breakfast,362,"48g Protein, 47g Carbs, 10g Fat",1.3,10,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,84,552,Snack,665,"21g Protein, 67g Carbs, 16g Fat",2.3,4,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Strength Training,101,127,Dinner,469,"33g Protein, 85g Carbs, 23g Fat",1.7,8,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,70,375,Breakfast,943,"38g Protein, 52g Carbs, 15g Fat",2.4,8,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Cycling,92,127,Dinner,389,"37g Protein, 77g Carbs, 20g Fat",1.5,5,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Swimming,36,736,Dinner,325,"31g Protein, 95g Carbs, 8g Fat",0.6,6,Fair,Standard balanced diet.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Yoga,116,403,Snack,300,"15g Protein, 46g Carbs, 27g Fat",1.3,10,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,36,204,Dinner,870,"37g Protein, 36g Carbs, 20g Fat",2.2,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Cycling,98,600,Breakfast,500,"46g Protein, 51g Carbs, 15g Fat",3.5,6,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Running,13,693,Lunch,300,"15g Protein, 74g Carbs, 12g Fat",0.7,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,29,448,Lunch,543,"46g Protein, 45g Carbs, 28g Fat",3.1,8,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Shrimp and avocado salad
Yoga,99,253,Lunch,822,"49g Protein, 40g Carbs, 30g Fat",1.4,4,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Strength Training,75,258,Breakfast,383,"25g Protein, 83g Carbs, 12g Fat",1,4,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Swimming,44,153,Snack,817,"45g Protein, 94g Carbs, 22g Fat",1.3,4,Good,Standard balanced diet.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Cycling,19,59,Snack,695,"14g Protein, 89g Carbs, 30g Fat",1.1,9,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,39,790,Dinner,639,"35g Protein, 20g Carbs, 11g Fat",1,5,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Strength Training,41,406,Snack,329,"34g Protein, 38g Carbs, 8g Fat",1,10,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Strength Training,58,283,Lunch,224,"12g Protein, 90g Carbs, 13g Fat",1.8,5,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Running,42,735,Dinner,959,"47g Protein, 56g Carbs, 29g Fat",2.1,6,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,70,275,Lunch,424,"16g Protein, 38g Carbs, 30g Fat",3.3,5,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Strength Training,46,662,Snack,280,"20g Protein, 50g Carbs, 6g Fat",2.6,7,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Strength Training,15,88,Breakfast,693,"30g Protein, 66g Carbs, 9g Fat",2.6,10,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Shrimp and avocado salad
Running,39,95,Lunch,880,"29g Protein, 82g Carbs, 27g Fat",3.5,6,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,75,573,Breakfast,760,"50g Protein, 68g Carbs, 12g Fat",2.3,7,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Cycling,51,785,Dinner,408,"23g Protein, 66g Carbs, 18g Fat",0.8,10,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Strength Training,89,485,Snack,740,"31g Protein, 51g Carbs, 12g Fat",0.8,6,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Running,105,115,Breakfast,763,"27g Protein, 45g Carbs, 23g Fat",1.3,6,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Swimming,66,509,Breakfast,438,"36g Protein, 68g Carbs, 28g Fat",2.9,5,Good,Standard balanced diet.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Cycling,23,171,Lunch,782,"11g Protein, 33g Carbs, 17g Fat",2.9,8,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Strength Training,74,78,Snack,534,"20g Protein, 38g Carbs, 15g Fat",2,8,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Shrimp and avocado salad
Strength Training,88,291,Breakfast,324,"24g Protein, 26g Carbs, 20g Fat",0.8,9,Good,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Running,84,371,Lunch,361,"33g Protein, 55g Carbs, 28g Fat",2.5,10,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Yoga,81,137,Dinner,204,"13g Protein, 37g Carbs, 15g Fat",3.4,5,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Swimming,15,763,Snack,326,"27g Protein, 80g Carbs, 15g Fat",2.2,9,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Running,36,361,Lunch,378,"49g Protein, 30g Carbs, 13g Fat",2.6,8,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Yoga,102,282,Snack,348,"26g Protein, 94g Carbs, 8g Fat",1,6,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Yoga,13,285,Lunch,568,"22g Protein, 61g Carbs, 26g Fat",1.6,4,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Running,57,311,Breakfast,796,"10g Protein, 39g Carbs, 17g Fat",3,8,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Cycling,49,245,Breakfast,616,"48g Protein, 59g Carbs, 19g Fat",2,5,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Running,89,368,Breakfast,526,"43g Protein, 26g Carbs, 16g Fat",1.2,6,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Swimming,88,50,Lunch,411,"21g Protein, 48g Carbs, 27g Fat",1.9,5,Fair,Standard balanced diet.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Running,86,75,Dinner,245,"46g Protein, 27g Carbs, 23g Fat",1.8,7,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Swimming,35,793,Breakfast,583,"13g Protein, 43g Carbs, 26g Fat",0.6,8,Fair,Standard balanced diet.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Yoga,22,658,Lunch,347,"45g Protein, 94g Carbs, 25g Fat",0.5,6,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Yoga,77,411,Snack,645,"41g Protein, 82g Carbs, 12g Fat",1.2,10,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Yoga,21,673,Dinner,429,"22g Protein, 72g Carbs, 24g Fat",0.8,10,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Strength Training,114,261,Dinner,891,"48g Protein, 90g Carbs, 25g Fat",1.4,7,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,103,404,Breakfast,722,"44g Protein, 34g Carbs, 11g Fat",0.9,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
